"Pin","CM3-Lite","pintype"
1,"GND","pwr"
2,"EMMC_DISABLE_N","in"
3,"GPIO0","io"
4,"SDX_VDD","pwr"
5,"GPIO1","io"
6,"SDX_VDD","pwr"
7,"GND","pwr"
8,"GND","pwr"
9,"GPIO2","io"
10,"SDX_CLK","out"
11,"GPIO3","io"
12,"SDX_CMD","out"
13,"GND","pwr"
14,"GND","pwr"
15,"GPIO4","io"
16,"SDX_D0","io"
17,"GPIO5","io"
18,"SDX_D1","io"
19,"GND","pwr"
20,"GND","pwr"
21,"GPIO6","io"
22,"SDX_D2","io"
23,"GPIO7","io"
24,"SDX_D3","io"
25,"GND","pwr"
26,"GND","pwr"
27,"GPIO8","io"
28,"GPIO28","io"
29,"GPIO9","io"
30,"GPIO29","io"
31,"GND","pwr"
32,"GND","pwr"
33,"GPIO10","io"
34,"GPIO30","io"
35,"GPIO11","io"
36,"GPIO31","io"
37,"GND","pwr"
38,"GND","pwr"
39,"GPIO0-27_VDD","pwr"
40,"GPIO0-27_VDD","pwr"
41,"GPIO28-45_VDD","pwr"
42,"200 GPIO28-45_VDD","pwr"
43,"GND","pwr"
44,"GND","pwr"
45,"GPIO12","io"
46,"GPIO32","io"
47,"GPIO13","io"
48,"GPIO33","io"
49,"GND","pwr"
50,"GND","pwr"
51,"GPIO14","io"
52,"GPIO34","io"
53,"GPIO15","io"
54,"GPIO35","io"
55,"GND","pwr"
56,"GND","pwr"
57,"GPIO16","io"
58,"GPIO36","io"
59,"GPIO17","io"
60,"GPIO37","io"
61,"GND","pwr"
62,"GND","pwr"
63,"GPIO18","io"
64,"GPIO38","io"
65,"GPIO19","io"
66,"GPIO39","io"
67,"GND","pwr"
68,"GND","pwr"
69,"GPIO20","io"
70,"GPIO40","io"
71,"GPIO21","io"
72,"GPIO41","io"
73,"GND","pwr"
74,"GND","pwr"
75,"GPIO22","io"
76,"GPIO42","io"
77,"GPIO23","io"
78,"GPIO43","io"
79,"GND","pwr"
80,"GND","pwr"
81,"GPIO24","io"
82,"GPIO44","io"
83,"GPIO25","io"
84,"GPIO45","io"
85,"GND","pwr"
86,"GND","pwr"
87,"GPIO26","io"
88,"HDMI_HPD_N_1V8","pwr"
89,"GPIO27","io"
90,"EMMC_EN_N_1V8","pwr"
91,"GND","pwr"
92,"GND","pwr"
93,"DSI0_DN1","out"
94,"DSI1_DP0","out"
95,"DSI0_DP1","out"
96,"DSI1_DN0","out"
97,"GND","pwr"
98,"GND","pwr"
99,"DSI0_DN0","out"
100,"DSI1_CP","out"
101,"DSI0_DP0","out"
102,"DSI1_CN","out"
103,"GND","pwr"
104,"GND","pwr"
105,"DSI0_CN","out"
106,"DSI1_DP3","out"
107,"DSI0_CP","out"
108,"DSI1_DN3","out"
109,"GND","pwr"
110,"GND","pwr"
111,"HDMI_CLK_N","out"
112,"DSI1_DP2","out"
113,"HDMI_CLK_P","out"
114,"DSI1_DN2","out"
115,"GND","pwr"
116,"GND","pwr"
117,"HDMI_D0_N","out"
118,"DSI1_DP1","out"
119,"HDMI_D0_P","out"
120,"DSI1_DN1","out"
121,"GND","pwr"
122,"GND","pwr"
123,"HDMI_D1_N","out"
124,"NC","tri"
125,"HDMI_D1_P","out"
126,"NC","tri"
127,"GND","pwr"
128,"NC","tri"
129,"HDMI_D2_N","out"
130,"NC","tri"
131,"HDMI_D2_P","out"
132,"NC","tri"
133,"GND","pwr"
134,"GND","pwr"
135,"CAM1_DP3","in"
136,"CAM0_DP0","in"
137,"CAM1_DN3","in"
138,"CAM0_DN0","in"
139,"GND","pwr"
140,"GND","pwr"
141,"CAM1_DP2","in"
142,"CAM0_CP","in"
143,"CAM1_DN2","in"
144,"CAM0_CN","in"
145,"GND","pwr"
146,"GND","pwr"
147,"CAM1_CP","in"
148,"CAM0_DP1","in"
149,"CAM1_CN","in"
150,"CAM0_DN1","in"
151,"GND","pwr"
152,"GND","pwr"
153,"CAM1_DP1","in"
154,"NC","tri"
155,"CAM1_DN1","in"
156,"NC","tri"
157,"GND","pwr"
158,"NC","tri"
159,"CAM1_DP0","in"
160,"NC","tri"
161,"CAM1_DN0","in"
162,"NC","tri"
163,"GND","pwr"
164,"GND","pwr"
165,"USB_DP","io"
166,"TVDAC","out"
167,"USB_DM","io"
168,"USB_OTGID","in"
169,"GND","pwr"
170,"GND","pwr"
171,"HDMI_CEC","io"
172,"VC_TRST_N","pwr"
173,"HDMI_SDA","io"
174,"VC_TDI","pwr"
175,"HDMI_SCL","io"
176,"VC_TMS","pwr"
177,"RUN","in"
178,"VC_TDO","pwr"
179,"VDD_CORE (DO NOT CONNECT)","pwr"
180,"VC_TCK","pwr"
181,"GND","pwr"
182,"GND","pwr"
183,"1V8","pwr"
184,"1V8","pwr"
185,"1V8","pwr"
186,"1V8","pwr"
187,"GND","pwr"
188,"GND","pwr"
189,"VDAC","pwr"
190,"VDAC","pwr"
191,"3V3","pwr"
192,"3V3","pwr"
193,"3V3","pwr"
194,"3V3","pwr"
195,"GND","pwr"
196,"GND","pwr"
197,"VBAT","pwr"
198,"VBAT","pwr"
199,"VBAT","pwr"
200,"VBAT","pwr"
